200,3,513,431
201,1,360,346
202,11,511,494
203,1,509,505
204,9,367,333
205,7,447,349
206,4,364,353
207,4,530,455
208,4,427,332
209,11,518,371
210,4,407,321
211,3,537,338
212,2,366,349
213,9,352,326
214,5,381,320
215,10,549,311
216,10,491,436
217,3,545,310
218,9,476,358
219,5,547,333
220,4,440,428
221,11,529,440
222,6,410,381
223,11,530,352
224,10,368,357
225,11,441,346
226,5,468,452
227,7,421,359
228,11,429,408
229,3,527,363
230,3,484,478
231,1,463,381
232,7,474,472
233,11,478,412
234,9,533,303
235,9,356,344
236,4,497,460
237,8,417,389
238,11,398,357
239,5,365,305
240,9,488,419
241,5,372,301
242,3,355,327
243,6,403,333
244,10,518,420
245,4,530,516
246,9,488,303
247,10,383,321
248,7,359,357
249,10,391,377
250,9,527,517
251,5,505,354
252,11,504,384
253,6,485,477
254,10,476,402
255,1,497,462
256,9,539,519
257,4,367,300
258,3,404,340
259,1,479,367
260,3,367,344
261,9,404,386
262,5,451,301
263,10,433,408
264,11,428,420
265,3,467,402
266,4,408,337
267,4,498,432
268,9,504,335
269,7,473,333
270,10,421,334
271,2,436,435
272,10,492,452
273,1,392,317
274,1,542,490
275,6,457,394
276,10,520,378
277,7,466,376
278,6,429,414
279,1,469,351
280,1,376,349
281,2,529,483
282,8,379,352
283,4,534,508
284,3,426,380
285,6,431,369
286,9,397,360
287,8,412,377
288,8,392,314
289,8,493,347
290,10,542,327
291,1,508,474
292,2,393,304
293,4,501,421
294,3,513,467
295,11,507,465
296,7,501,375
297,11,401,368
298,8,458,367
299,10,524,516
300,5,420,312
301,8,468,446
302,11,505,355
303,11,420,396
304,5,508,326
305,3,507,406
306,10,526,450
307,5,434,319
308,10,396,395
309,1,442,351
310,9,490,347
311,2,518,307
312,11,452,442
313,1,423,394
314,6,465,408
315,3,503,326
316,10,469,459
317,11,358,325
318,1,486,475
319,7,441,411
320,9,468,460
321,8,457,456
322,8,365,301
323,8,488,314
324,1,474,432
325,8,537,320
326,10,382,326
327,9,463,419
328,7,429,351
329,7,389,366
330,9,466,376
331,2,378,352
332,8,547,324
333,1,372,364
334,3,428,384
335,5,521,426
336,6,506,404
337,8,360,355
338,1,519,357
339,2,475,459
340,6,471,405
341,4,398,382
342,10,472,401
343,11,446,393
344,4,493,400
345,9,428,409
346,11,403,314
347,10,539,306
348,3,542,428
349,2,548,477
350,8,399,360
351,11,362,326
352,3,395,335
353,6,462,412
354,9,400,363
355,5,484,456
356,8,550,330
357,4,428,316
358,3,434,423
359,9,396,354
360,4,353,344
361,9,421,373
362,10,378,330
363,6,420,362
364,3,369,301
365,5,454,451
366,3,395,386
367,5,549,492
368,4,475,342
369,9,442,342
370,10,424,358
371,3,494,450
372,8,397,329
373,4,508,449
374,1,521,416
375,9,480,393
