200,11,439,373
201,2,377,321
202,4,480,315
203,9,514,502
204,9,424,317
205,9,489,366
206,2,510,388
207,1,475,332
208,5,462,414
209,7,389,377
210,11,425,382
211,3,423,341
212,2,483,421
213,6,365,314
214,3,448,418
215,1,409,308
216,11,528,364
217,9,434,386
218,3,461,427
219,11,439,361
220,5,488,343
221,1,497,381
222,3,458,457
223,1,486,442
224,6,489,343
225,8,535,365
226,3,538,404
227,10,387,381
228,9,534,397
229,9,453,336
230,8,485,434
231,1,367,318
232,9,480,436
233,6,450,341
234,6,543,463
235,5,482,457
236,4,405,400
237,9,473,358
238,11,510,307
239,3,477,318
240,10,364,314
241,9,397,323
242,1,447,409
243,10,398,332
244,6,465,383
245,4,545,494
246,1,497,345
247,10,399,369
248,2,535,493
249,1,415,361
250,2,480,325
251,2,415,347
252,6,368,343
253,2,548,442
254,5,538,324
255,9,378,308
256,10,504,396
257,6,401,328
258,10,357,320
259,2,456,446
260,5,399,310
261,2,472,467
262,1,492,445
263,1,538,309
264,7,510,316
265,11,350,313
266,7,543,449
267,6,541,309
268,6,366,365
269,2,429,316
270,6,357,339
271,5,364,350
272,5,447,339
273,2,504,362
274,7,531,355
275,2,444,431
276,11,437,324
277,10,407,328
278,11,403,345
279,9,510,346
280,5,393,311
281,11,431,395
282,1,390,307
283,6,487,401
284,1,420,306
285,1,426,349
286,11,484,420
287,4,497,359
288,10,518,345
289,3,503,433
290,4,408,386
291,6,383,369
292,8,351,308
293,10,402,348
294,1,475,436
295,10,477,362
296,11,460,444
297,3,517,345
298,11,387,378
299,7,387,330
300,11,447,337
301,7,422,382
302,10,477,346
303,9,510,354
304,8,472,464
305,1,496,330
306,9,525,484
307,11,394,305
308,3,361,338
309,8,380,336
310,6,460,302
311,7,393,355
312,3,412,329
313,6,355,316
314,1,461,363
315,10,448,443
316,1,392,369
317,11,528,321
318,4,450,337
319,7,428,317
320,1,464,400
321,10,364,314
322,6,363,321
323,7,462,378
324,2,462,366
325,10,439,333
326,7,520,331
327,5,414,400
328,2,388,325
329,10,481,381
330,4,378,321
331,9,528,302
332,4,400,359
333,3,474,467
334,5,356,317
335,6,370,352
336,2,361,336
337,1,354,322
338,11,393,390
339,1,539,378
340,2,371,322
341,3,452,386
342,1,424,382
343,7,549,456
344,11,380,337
345,7,381,378
346,9,499,379
347,9,373,313
348,4,483,331
349,7,529,449
350,1,437,426
351,6,522,317
352,1,548,507
353,11,528,363
354,8,372,343
355,2,545,460
356,2,533,442
357,1,408,353
358,1,433,348
359,4,447,390
